Data;Loja;Região;Produto;Ação Merchandising;Investimento R$;Qtd Vendida SellOut;Faturamento R$;Houve Ruptura Auditoria;Share Nossa Marca;Share Concorrente A;Share Concorrente B
01/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Display Checkout;300;0;0;1;0;0,55;0,45
01/01/2026;Carrefour Pamplona;Sudeste;Condicionador Gold;Faixa de Gôndola;150;97;2134;0;0,32;0,27;0,41
01/01/2026;Carrefour Pamplona;Sudeste;Creme Tratamento;Display Checkout;300;17;510;0;0,31;0,47;0,22
01/01/2026;Pão de Açúcar Minuto;Sudeste;Shampoo Gold;Nenhuma;0;25;625;0;0,45;0,27;0,28
01/01/2026;Pão de Açúcar Minuto;Sudeste;Condicionador Gold;Ponta de Gôndola;500;105;2310;0;0,45;0,14;0,41
01/01/2026;Pão de Açúcar Minuto;Sudeste;Creme Tratamento;Display Checkout;300;76;2280;0;0,32;0,33;0,35
01/01/2026;Walmart Boa Viagem;Nordeste;Shampoo Gold;Display Checkout;300;0;0;1;0;0,49;0,51
01/01/2026;Walmart Boa Viagem;Nordeste;Condicionador Gold;Nenhuma;0;13;286;0;0,32;0,46;0,22
01/01/2026;Walmart Boa Viagem;Nordeste;Creme Tratamento;Nenhuma;0;0;0;1;0;0,46;0,54
01/01/2026;Zaffari Higienópolis;Sul;Shampoo Gold;Ponta de Gôndola;500;125;3125;0;0,47;0,27;0,26
01/01/2026;Zaffari Higienópolis;Sul;Condicionador Gold;Nenhuma;0;21;462;0;0,36;0,33;0,31
01/01/2026;Zaffari Higienópolis;Sul;Creme Tratamento;Display Checkout;300;120;3600;0;0,44;0,11;0,45
01/01/2026;Zona Sul Copacabana;Sudeste;Shampoo Gold;Nenhuma;0;14;350;0;0,52;0,24;0,24
01/01/2026;Zona Sul Copacabana;Sudeste;Condicionador Gold;Nenhuma;0;27;594;0;0,43;0,39;0,18
01/01/2026;Zona Sul Copacabana;Sudeste;Creme Tratamento;Nenhuma;0;28;840;0;0,39;0,19;0,42
02/01/2026;Carrefour Pamplona;Sudeste;Shampoo Gold;Faixa de Gôndola;150;29;725;0;0,34;0,11;0,55
